,date_time,open,close,delta_next_day,nextclose,prediction_0,prediction_2,prediction_4,prediction_6,prediction_8,prediction_10,prediction_12,prediction_14,prediction_16,prediction_18,prediction_20,prediction_22,prediction_24,prediction_26,prediction_28,prediction_30,prediction_32,prediction_34,prediction_36,prediction_38,prediction_40,prediction_42,prediction_44,prediction_46,prediction_48,prediction_1,prediction_3,prediction_5,prediction_7,prediction_9,prediction_11,prediction_13,prediction_15,prediction_17,prediction_19,prediction_21,prediction_23,prediction_25,prediction_27,prediction_29,prediction_31,prediction_33,prediction_35,prediction_37,prediction_39,prediction_41,prediction_43,prediction_45,prediction_47,prediction_49
0,2012-08-10,30.5,30.420000076293945,-0.12294387817382812,30.512943,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,0,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1
1,2012-08-13,30.350000381469727,30.389999389648438,-0.3462085723876953,30.476208,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,0,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
2,2012-08-14,30.299999237060547,30.1299991607666,-0.16321945190429688,30.36322,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,0,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
3,2012-08-15,30.110000610351562,30.200000762939453,0.6885871887207031,30.091413,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,2,1,2,1,1,1,0,1,1,1,1,1,0,1,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,2
4,2012-08-16,30.360000610351562,30.780000686645508,0.901123046875,29.998877,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,2,1,2,1,1,2,0,1,0,1,1,1,2,1,0,1,1,2,2,1,1,2,1,2,0,2,2,1,1,2
5,2012-08-17,30.920000076293945,30.899999618530273,0.2931365966796875,30.446863,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,2,1,1,1,2,1,1,1,2
6,2012-08-20,30.81999969482422,30.739999771118164,0.015825271606445312,30.784174,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2
7,2012-08-21,30.760000228881836,30.799999237060547,-0.24104690551757812,30.781048,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
8,2012-08-22,30.59000015258789,30.540000915527344,-0.5585517883300781,30.818552,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,0,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
9,2012-08-23,30.389999389648438,30.260000228881836,-0.0007877349853515625,30.560787,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0
10,2012-08-24,30.25,30.559999465942383,0.5411834716796875,30.148817,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,2
11,2012-08-27,30.93000030517578,30.690000534057617,0.40381622314453125,30.226183,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,2,1,1,1,2,1,1,1,2
12,2012-08-28,30.700000762939453,30.6299991607666,0.14139747619628906,30.508602,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2
13,2012-08-29,30.649999618530273,30.649999618530273,-0.2758350372314453,30.595835,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
14,2012-08-30,30.530000686645508,30.31999969482422,0.15928077697753906,30.660719,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,0,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2
