Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.4595635430038511,1.0,-46.04576110839844,1.0,0.0,0.4595635430038511,0,1.0,0.0,0.47888161808447355,1.0,106.63872528076172,1.0,0.0,0.47888161808447355,0,1.0,0.0,0.7235772357723578,1.0,152.68448638916016,1.0,0.0,0.7235772357723578,0,1.0,0.0
1,0.4595635430038511,1.0,-46.04576110839844,1.0,0.0,0.4595635430038511,0,1.0,0.0,0.47888161808447355,1.0,106.63872528076172,1.0,0.0,0.47888161808447355,0,1.0,0.0,0.7235772357723578,1.0,152.68448638916016,1.0,0.0,0.7235772357723578,0,1.0,0.0
2,0.4595635430038511,1.0,-46.04576110839844,1.0,0.0,0.4595635430038511,0,1.0,0.0,0.47888161808447355,1.0,106.63872528076172,1.0,0.0,0.47888161808447355,0,1.0,0.0,0.7235772357723578,1.0,152.68448638916016,1.0,0.0,0.7235772357723578,0,1.0,0.0
3,0.4595635430038511,1.0,-46.04576110839844,1.0,0.0,0.4595635430038511,0,1.0,0.0,0.47888161808447355,1.0,106.63872528076172,1.0,0.0,0.47888161808447355,0,1.0,0.0,0.7235772357723578,1.0,152.68448638916016,1.0,0.0,0.7235772357723578,0,1.0,0.0
4,0.4595635430038511,1.0,-46.04576110839844,1.0,0.0,0.4595635430038511,0,1.0,0.0,0.47888161808447355,1.0,106.63872528076172,1.0,0.0,0.47888161808447355,0,1.0,0.0,0.7235772357723578,1.0,152.68448638916016,1.0,0.0,0.7235772357723578,0,1.0,0.0
5,0.4595635430038511,1.0,-46.04576110839844,1.0,0.0,0.4595635430038511,0,1.0,0.0,0.47888161808447355,1.0,106.63872528076172,1.0,0.0,0.47888161808447355,0,1.0,0.0,0.7235772357723578,1.0,152.68448638916016,1.0,0.0,0.7235772357723578,0,1.0,0.0
6,0.4595635430038511,1.0,-46.04576110839844,1.0,0.0,0.4595635430038511,0,1.0,0.0,0.47888161808447355,1.0,106.63872528076172,1.0,0.0,0.47888161808447355,0,1.0,0.0,0.7235772357723578,1.0,152.68448638916016,1.0,0.0,0.7235772357723578,0,1.0,0.0
7,0.4595635430038511,1.0,-46.04576110839844,1.0,0.0,0.4595635430038511,0,1.0,0.0,0.47888161808447355,1.0,106.63872528076172,1.0,0.0,0.47888161808447355,0,1.0,0.0,0.7235772357723578,1.0,152.68448638916016,1.0,0.0,0.7235772357723578,0,1.0,0.0
8,0.4595635430038511,1.0,-46.04576110839844,1.0,0.0,0.4595635430038511,0,1.0,0.0,0.47888161808447355,1.0,106.63872528076172,1.0,0.0,0.47888161808447355,0,1.0,0.0,0.7235772357723578,1.0,152.68448638916016,1.0,0.0,0.7235772357723578,0,1.0,0.0
9,0.4595635430038511,1.0,-46.04576110839844,1.0,0.0,0.4595635430038511,0,1.0,0.0,0.47888161808447355,1.0,106.63872528076172,1.0,0.0,0.47888161808447355,0,1.0,0.0,0.7235772357723578,1.0,152.68448638916016,1.0,0.0,0.7235772357723578,0,1.0,0.0
10,0.4595635430038511,1.0,-46.04576110839844,1.0,0.0,0.4595635430038511,0,1.0,0.0,0.47888161808447355,1.0,106.63872528076172,1.0,0.0,0.47888161808447355,0,1.0,0.0,0.7235772357723578,1.0,152.68448638916016,1.0,0.0,0.7235772357723578,0,1.0,0.0
11,0.4595635430038511,1.0,-46.04576110839844,1.0,0.0,0.4595635430038511,0,1.0,0.0,0.47888161808447355,1.0,106.63872528076172,1.0,0.0,0.47888161808447355,0,1.0,0.0,0.7235772357723578,1.0,152.68448638916016,1.0,0.0,0.7235772357723578,0,1.0,0.0
12,0.4595635430038511,1.0,-46.04576110839844,1.0,0.0,0.4595635430038511,0,1.0,0.0,0.47888161808447355,1.0,106.63872528076172,1.0,0.0,0.47888161808447355,0,1.0,0.0,0.7235772357723578,1.0,152.68448638916016,1.0,0.0,0.7235772357723578,0,1.0,0.0
