,Unnamed: 0,date_time,open,close,delta_next_day,nextclose,prediction_0,prediction_2,prediction_4,prediction_6,prediction_8,prediction_10,prediction_12,prediction_14,prediction_16,prediction_18,prediction_20,prediction_22,prediction_24,prediction_26,prediction_28,prediction_30,prediction_32,prediction_34,prediction_36,prediction_38,prediction_40,prediction_42,prediction_44,prediction_46,prediction_48,Unnamed: 0,prediction_1,prediction_3,prediction_5,prediction_7,prediction_9,prediction_11,prediction_13,prediction_15,prediction_17,prediction_19,prediction_21,prediction_23,prediction_25,prediction_27,prediction_29,prediction_31,prediction_33,prediction_35,prediction_37,prediction_39,prediction_41,prediction_43,prediction_45,prediction_47,prediction_49
39,39,2012-08-20,30.81999969482422,30.739999771118164,0.0476055145263671,30.752394,1,1,1,1,2,2,1,2,1,0,2,2,1,1,2,1,0,0,2,1,1,2,2,2,2,39,1,1,1,1,2,1,2,2,2,1,2,1,1,0,0,0,1,1,1,1,2,2,2,1,2
40,40,2012-08-21,30.76000022888184,30.799999237060547,-0.3183937072753906,30.858395,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,0,1,40,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1
41,41,2012-08-22,30.59000015258789,30.540000915527344,-0.6627426147460938,30.922743,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,42,2012-08-23,30.38999938964844,30.26000022888184,-0.3068561553955078,30.866856,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,0,1,42,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1
43,43,2012-08-24,30.25,30.559999465942383,-0.0421485900878906,30.73215,1,1,1,1,1,2,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,2,2,2,0,43,1,1,1,1,1,1,1,0,2,1,0,1,1,1,1,1,1,1,1,1,2,2,2,1,2
44,44,2012-08-27,30.93000030517578,30.690000534057617,-0.0918598175048828,30.721859,1,1,1,1,1,2,1,2,1,1,2,1,1,1,0,1,1,1,2,1,1,2,2,2,0,44,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2,1,2
45,45,2012-08-28,30.700000762939453,30.6299991607666,-0.1286087036132812,30.778608,1,1,1,1,1,2,1,2,1,1,2,1,1,1,0,1,1,1,2,1,1,2,2,2,1,45,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2,1,2
46,46,2012-08-29,30.649999618530277,30.649999618530277,-0.5011882781982422,30.821188,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
47,47,2012-08-30,30.530000686645508,30.31999969482422,-0.0208778381347656,30.840878,1,1,1,1,0,2,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,2,2,2,0,47,1,1,1,1,1,1,1,0,2,1,0,1,1,1,1,1,1,1,1,1,2,2,2,1,2
48,48,2012-08-31,30.600000381469727,30.81999969482422,-0.3679752349853515,30.757975,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,0,1,48,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
49,49,2012-09-04,30.450000762939453,30.38999938964844,-0.3957347869873047,30.785734,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,0,1,49,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
