Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.6527599486521181,1.0,652.8244285583496,1.0,0.0,0.6527599486521181,0,1.0,0.0,0.6571601941747572,1.0,784.0995216369629,1.0,0.0,0.6571601941747572,0,1.0,0.0,0.7333333333333333,1.0,131.27509307861328,1.0,0.0,0.7333333333333333,0,1.0,0.0
1,0.6527599486521181,1.0,652.8244285583496,1.0,0.0,0.6527599486521181,0,1.0,0.0,0.6571601941747572,1.0,784.0995216369629,1.0,0.0,0.6571601941747572,0,1.0,0.0,0.7333333333333333,1.0,131.27509307861328,1.0,0.0,0.7333333333333333,0,1.0,0.0
2,0.6527599486521181,1.0,652.8244285583496,1.0,0.0,0.6527599486521181,0,1.0,0.0,0.6571601941747572,1.0,784.0995216369629,1.0,0.0,0.6571601941747572,0,1.0,0.0,0.7333333333333333,1.0,131.27509307861328,1.0,0.0,0.7333333333333333,0,1.0,0.0
3,0.6527599486521181,1.0,652.8244285583496,1.0,0.0,0.6527599486521181,0,1.0,0.0,0.6571601941747572,1.0,784.0995216369629,1.0,0.0,0.6571601941747572,0,1.0,0.0,0.7333333333333333,1.0,131.27509307861328,1.0,0.0,0.7333333333333333,0,1.0,0.0
4,0.6527599486521181,1.0,652.8244285583496,1.0,0.0,0.6527599486521181,0,1.0,0.0,0.6571601941747572,1.0,784.0995216369629,1.0,0.0,0.6571601941747572,0,1.0,0.0,0.7333333333333333,1.0,131.27509307861328,1.0,0.0,0.7333333333333333,0,1.0,0.0
5,0.6527599486521181,1.0,652.8244285583496,1.0,0.0,0.6527599486521181,0,1.0,0.0,0.6571601941747572,1.0,784.0995216369629,1.0,0.0,0.6571601941747572,0,1.0,0.0,0.7333333333333333,1.0,131.27509307861328,1.0,0.0,0.7333333333333333,0,1.0,0.0
6,0.6527599486521181,1.0,652.8244285583496,1.0,0.0,0.6527599486521181,0,1.0,0.0,0.6571601941747572,1.0,784.0995216369629,1.0,0.0,0.6571601941747572,0,1.0,0.0,0.7333333333333333,1.0,131.27509307861328,1.0,0.0,0.7333333333333333,0,1.0,0.0
7,0.6527599486521181,1.0,652.8244285583496,1.0,0.0,0.6527599486521181,0,1.0,0.0,0.6571601941747572,1.0,784.0995216369629,1.0,0.0,0.6571601941747572,0,1.0,0.0,0.7333333333333333,1.0,131.27509307861328,1.0,0.0,0.7333333333333333,0,1.0,0.0
8,0.6527599486521181,1.0,652.8244285583496,1.0,0.0,0.6527599486521181,0,1.0,0.0,0.6571601941747572,1.0,784.0995216369629,1.0,0.0,0.6571601941747572,0,1.0,0.0,0.7333333333333333,1.0,131.27509307861328,1.0,0.0,0.7333333333333333,0,1.0,0.0
9,0.6527599486521181,1.0,652.8244285583496,1.0,0.0,0.6527599486521181,0,1.0,0.0,0.6571601941747572,1.0,784.0995216369629,1.0,0.0,0.6571601941747572,0,1.0,0.0,0.7333333333333333,1.0,131.27509307861328,1.0,0.0,0.7333333333333333,0,1.0,0.0
